date,phase
7/30/2012,4
7/31/2012,4
8/1/2012,5
8/2/2012,5
8/3/2012,5
8/4/2012,6
8/5/2012,6
8/6/2012,6
8/7/2012,6
8/8/2012,7
8/9/2012,7
8/10/2012,7
8/11/2012,7
8/12/2012,8
8/13/2012,8
8/14/2012,8
8/15/2012,8
8/16/2012,1
8/17/2012,1
8/18/2012,1
8/19/2012,2
8/20/2012,2
8/21/2012,2
8/22/2012,2
8/23/2012,3
8/24/2012,3
8/25/2012,3
8/26/2012,4
8/27/2012,4
8/28/2012,4
8/29/2012,4
8/30/2012,5
8/31/2012,5
9/1/2012,5
9/2/2012,6
9/3/2012,6
9/4/2012,6
9/5/2012,6
9/6/2012,7
9/7/2012,7
9/8/2012,7
9/9/2012,7
9/10/2012,8
9/11/2012,8
9/12/2012,8
9/13/2012,8
9/14/2012,1
9/15/2012,1
9/16/2012,1
9/17/2012,2
9/18/2012,2
9/19/2012,2
9/20/2012,2
9/21/2012,3
9/22/2012,3
9/23/2012,3
9/24/2012,3
9/25/2012,4
9/26/2012,4
9/27/2012,4
9/28/2012,5
9/29/2012,5
9/30/2012,5
10/1/2012,5
10/2/2012,6
10/3/2012,6
10/4/2012,6
10/5/2012,5
10/6/2012,7
10/7/2012,7
10/8/2012,7
10/9/2012,7
10/10/2012,8
10/11/2012,8
10/12/2012,8
10/13/2012,8
10/14/2012,1
10/15/2012,1
10/16/2012,1
10/17/2012,2
10/18/2012,2
10/19/2012,2
10/20/2012,2
10/21/2012,3
10/22/2012,3
10/23/2012,3
10/24/2012,3
10/25/2012,4
10/26/2012,4
10/27/2012,4
10/28/2012,5
10/29/2012,5
10/30/2012,5
10/31/2012,6
11/1/2012,6
11/2/2012,6
11/3/2012,6
11/4/2012,6
11/5/2012,7
11/6/2012,7
11/7/2012,7
11/8/2012,7
11/9/2012,8
11/10/2012,8
11/11/2012,8
11/12/2012,1
11/13/2012,1
11/14/2012,1
11/15/2012,2
11/16/2012,2
11/17/2012,2
11/18/2012,2
11/19/2012,3
11/20/2012,3
11/21/2012,3
11/22/2012,3
11/23/2012,4
11/24/2012,4
11/25/2012,4
11/26/2012,4
11/27/2012,5
11/28/2012,5
11/29/2012,5
11/30/2012,6
12/1/2012,6
12/2/2012,6
12/3/2012,6
12/4/2012,7
12/5/2012,7
12/6/2012,7
12/7/2012,7
12/8/2012,8
12/9/2012,8
12/10/2012,8
12/11/2012,8
12/12/2012,1
12/13/2012,1
12/14/2012,1
12/15/2012,2
12/16/2012,2
12/17/2012,2
12/18/2012,2
12/19/2012,3
12/20/2012,3
12/21/2012,3
12/22/2012,3
12/23/2012,4
12/24/2012,4
12/25/2012,4
12/26/2012,4
12/27/2012,5
12/28/2012,5
12/29/2012,5
12/30/2012,6
12/31/2012,6
1/1/2013,6
1/2/2013,6
1/3/2013,6
1/4/2013,7
1/5/2013,7
1/6/2013,7
1/7/2013,8
1/8/2013,8
1/9/2013,8
1/10/2013,1
1/11/2013,1
1/12/2013,1
1/13/2013,2
1/14/2013,2
1/15/2013,2
1/16/2013,2
1/17/2013,3
1/18/2013,3
1/19/2013,3
1/20/2013,3
1/21/2013,4
1/22/2013,4
1/23/2013,4
1/24/2013,4
1/25/2013,4
1/26/2013,5
1/27/2013,5
1/28/2013,5
1/29/2013,6
1/30/2013,6
1/31/2013,6
2/1/2013,6
2/2/2013,7
2/3/2013,7
2/4/2013,7
2/5/2013,8
2/6/2013,8
2/7/2013,8
2/8/2013,8
2/9/2013,1
2/10/2013,1
2/11/2013,1
2/12/2013,2
2/13/2013,2
2/14/2013,2
2/15/2013,2
2/16/2013,3
2/17/2013,3
2/18/2013,3
2/19/2013,3
2/20/2013,4
2/21/2013,4
2/22/2013,4
2/23/2013,4
2/24/2013,5
2/25/2013,5
2/26/2013,5
2/27/2013,6
2/28/2013,6
3/1/2013,6
3/2/2013,6
3/3/2013,7
3/4/2013,7
3/5/2013,7
3/6/2013,7
3/7/2013,8
3/8/2013,8
3/9/2013,8
3/10/2013,1
3/11/2013,1
3/12/2013,1
3/13/2013,2
3/14/2013,2
3/15/2013,2
3/16/2013,2
3/17/2013,2
3/18/2013,3
3/19/2013,3
3/20/2013,3
3/21/2013,4
3/22/2013,4
3/23/2013,4
3/24/2013,4
3/25/2013,4
3/26/2013,5
3/27/2013,5
3/28/2013,5
3/29/2013,6
3/30/2013,6
3/31/2013,6
4/1/2013,6
4/2/2013,7
4/3/2013,7
4/4/2013,7
4/5/2013,8
4/6/2013,8
4/7/2013,8
4/8/2013,8
4/9/2013,1
4/10/2013,1
4/11/2013,1
4/12/2013,2
4/13/2013,2
4/14/2013,2
4/15/2013,2
4/16/2013,2
4/17/2013,3
4/18/2013,3
4/19/2013,3
4/20/2013,4
4/21/2013,4
4/22/2013,4
4/23/2013,4
4/24/2013,4
4/25/2013,5
4/26/2013,5
4/27/2013,6
4/28/2013,6
4/29/2013,6
4/30/2013,6
5/1/2013,7
5/2/2013,7
5/3/2013,7
5/4/2013,8
5/5/2013,8
5/6/2013,8
5/7/2013,8
5/8/2013,1
5/9/2013,1
5/10/2013,1
5/11/2013,1
5/12/2013,2
5/13/2013,2
5/14/2013,2
5/15/2013,2
5/16/2013,2
5/17/2013,3
5/18/2013,3
5/19/2013,3
5/20/2013,4
5/21/2013,4
5/22/2013,4
5/23/2013,4
5/24/2013,5
5/25/2013,5
5/26/2013,6
5/27/2013,6
5/28/2013,6
5/29/2013,6
5/30/2013,7
5/31/2013,7
6/1/2013,7
6/2/2013,8
6/3/2013,8
6/4/2013,8
6/5/2013,8
6/6/2013,8
6/7/2013,1
6/8/2013,1
6/9/2013,1
6/10/2013,2
6/11/2013,2
6/12/2013,2
6/13/2013,2
6/14/2013,2
6/15/2013,3
6/16/2013,3
6/17/2013,3
6/18/2013,4
6/19/2013,4
6/20/2013,4
6/21/2013,4
6/22/2013,5
6/23/2013,5
6/24/2013,5
6/25/2013,6
6/26/2013,6
6/27/2013,6
6/28/2013,6
6/29/2013,7
6/30/2013,7
7/1/2013,7
7/2/2013,8
7/3/2013,8
7/4/2013,8
7/5/2013,8
7/6/2013,8
7/7/2013,1
7/8/2013,1
7/9/2013,1
7/10/2013,2
7/11/2013,2
7/12/2013,2
7/13/2013,2
7/14/2013,2
7/15/2013,3
7/16/2013,3
7/17/2013,3
7/18/2013,4
7/19/2013,4
7/20/2013,4
7/21/2013,5
7/22/2013,5
7/23/2013,5
7/24/2013,6
7/25/2013,6
7/26/2013,6
7/27/2013,6
7/28/2013,7
7/29/2013,7
7/30/2013,7
7/31/2013,8
8/1/2013,8
8/2/2013,8
8/3/2013,8
8/4/2013,8
8/5/2013,1
8/6/2013,1
8/7/2013,1
8/8/2013,2
8/9/2013,2
8/10/2013,2
8/11/2013,2
8/12/2013,2
8/13/2013,3
8/14/2013,3
8/15/2013,3
8/16/2013,4
8/17/2013,4
8/18/2013,4
8/19/2013,4
8/20/2013,5
8/21/2013,5
8/22/2013,6
8/23/2013,6
8/24/2013,6
8/25/2013,6
8/26/2013,6
8/27/2013,7
8/28/2013,7
8/29/2013,7
8/30/2013,8
8/31/2013,8
9/1/2013,8
9/2/2013,8
9/3/2013,8
9/4/2013,1
9/5/2013,1
9/6/2013,1
9/7/2013,2
9/8/2013,2
9/9/2013,2
9/10/2013,2
9/11/2013,3
9/12/2013,3
9/13/2013,3
9/14/2013,4
9/15/2013,4
9/16/2013,4
9/17/2013,4
9/18/2013,5
9/19/2013,5
9/20/2013,5
9/21/2013,6
9/22/2013,6
9/23/2013,6
9/24/2013,6
9/25/2013,6
9/26/2013,7
9/27/2013,7
9/28/2013,7
9/29/2013,8
9/30/2013,8
10/1/2013,8
10/2/2013,8
10/3/2013,8
10/4/2013,1
10/5/2013,1
10/6/2013,2
10/7/2013,2
10/8/2013,2
10/9/2013,2
10/10/2013,2
10/11/2013,3
10/12/2013,3
10/13/2013,4
10/14/2013,4
10/15/2013,4
10/16/2013,4
10/17/2013,4
10/18/2013,5
10/19/2013,5
10/20/2013,5
10/21/2013,6
10/22/2013,6
10/23/2013,6
10/24/2013,6
10/25/2013,7
10/26/2013,7
10/27/2013,7
10/28/2013,7
10/29/2013,8
10/30/2013,8
10/31/2013,8
11/1/2013,8
11/2/2013,1
11/3/2013,1
11/4/2013,1
11/5/2013,2
11/6/2013,2
11/7/2013,2
11/8/2013,2
11/9/2013,3
11/10/2013,3
11/11/2013,3
11/12/2013,4
11/13/2013,4
11/14/2013,4
11/15/2013,4
11/16/2013,5
11/17/2013,5
11/18/2013,5
11/19/2013,6
11/20/2013,6
11/21/2013,6
11/22/2013,6
11/23/2013,7
11/24/2013,7
11/25/2013,7
11/26/2013,7
11/27/2013,8
11/28/2013,8
11/29/2013,8
11/30/2013,8
12/1/2013,1
12/2/2013,1
12/3/2013,1
12/4/2013,2
12/5/2013,2
12/6/2013,2
12/7/2013,2
12/8/2013,3
12/9/2013,3
12/10/2013,3
12/11/2013,4
12/12/2013,4
12/13/2013,4
12/14/2013,4
12/15/2013,4
12/16/2013,5
12/17/2013,5
12/18/2013,5
12/19/2013,6
12/20/2013,6
12/21/2013,6
12/22/2013,6
12/23/2013,6
12/24/2013,7
12/25/2013,7
12/26/2013,7
12/27/2013,8
12/28/2013,8
12/29/2013,8
12/30/2013,8
12/31/2013,1
1/1/2014,1
1/2/2014,1
1/3/2014,2
1/4/2014,2
1/5/2014,2
1/6/2014,2
1/7/2014,3
1/8/2014,3
1/9/2014,3
1/10/2014,4
1/11/2014,4
1/12/2014,4
1/13/2014,4
1/14/2014,4
1/15/2014,5
1/16/2014,5
1/17/2014,5
1/18/2014,6
1/19/2014,6
1/20/2014,6
1/21/2014,6
1/22/2014,6
1/23/2014,7
1/24/2014,7
1/25/2014,7
1/26/2014,8
1/27/2014,8
1/28/2014,8
1/29/2014,8
1/30/2014,1
1/31/2014,1
2/1/2014,1
2/2/2014,2
2/3/2014,2
2/4/2014,2
2/5/2014,3
2/6/2014,3
2/7/2014,3
2/8/2014,4
2/9/2014,4
2/10/2014,4
2/11/2014,4
2/12/2014,4
2/13/2014,5
2/14/2014,5
2/15/2014,5
2/16/2014,5
2/17/2014,6
2/18/2014,6
2/19/2014,6
2/20/2014,6
2/21/2014,7
2/22/2014,7
2/23/2014,7
2/24/2014,8
2/25/2014,8
2/26/2014,8
2/27/2014,8
2/28/2014,1
3/1/2014,1
3/2/2014,1
3/3/2014,2
3/4/2014,2
3/5/2014,2
3/6/2014,2
3/7/2014,3
3/8/2014,3
3/9/2014,3
3/10/2014,4
3/11/2014,4
3/12/2014,4
3/13/2014,4
3/14/2014,4
3/15/2014,5
3/16/2014,5
3/17/2014,5
3/18/2014,6
3/19/2014,6
3/20/2014,6
3/21/2014,6
3/22/2014,6
3/23/2014,7
3/24/2014,7
3/25/2014,8
3/26/2014,8
3/27/2014,8
3/28/2014,8
3/29/2014,1
3/30/2014,1
3/31/2014,1
4/1/2014,2
4/2/2014,2
4/3/2014,2
4/4/2014,2
4/5/2014,2
4/6/2014,3
4/7/2014,3
4/8/2014,3
4/9/2014,4
4/10/2014,4
4/11/2014,4
4/12/2014,4
4/13/2014,4
4/14/2014,5
4/15/2014,5
4/16/2014,5
4/17/2014,6
4/18/2014,6
4/19/2014,6
4/20/2014,6
4/21/2014,7
4/22/2014,7
4/23/2014,7
4/24/2014,8
4/25/2014,8
4/26/2014,8
4/27/2014,8
4/28/2014,1
4/29/2014,1
4/30/2014,1
5/1/2014,2
5/2/2014,2
5/3/2014,2
5/4/2014,2
5/5/2014,3
5/6/2014,3
5/7/2014,3
5/8/2014,3
5/9/2014,4
5/10/2014,4
5/11/2014,4
5/12/2014,4
5/13/2014,5
5/14/2014,5
5/15/2014,5
5/16/2014,6
5/17/2014,6
5/18/2014,6
5/19/2014,6
5/20/2014,7
5/21/2014,7
5/22/2014,7
5/23/2014,8
5/24/2014,8
5/25/2014,8
5/26/2014,8
5/27/2014,1
5/28/2014,1
5/29/2014,1
5/30/2014,2
5/31/2014,2
6/1/2014,2
6/2/2014,2
6/3/2014,2
6/4/2014,3
6/5/2014,3
6/6/2014,3
6/7/2014,4
6/8/2014,4
6/9/2014,4
6/10/2014,4
6/11/2014,4
6/12/2014,5
6/13/2014,5
6/14/2014,6
6/15/2014,6
6/16/2014,6
6/17/2014,6
6/18/2014,7
6/19/2014,7
6/20/2014,7
6/21/2014,8
6/22/2014,8
6/23/2014,8
6/24/2014,8
6/25/2014,8
6/26/2014,1
6/27/2014,1
6/28/2014,1
6/29/2014,2
6/30/2014,2
7/1/2014,2
7/2/2014,2
7/3/2014,2
7/4/2014,3
7/5/2014,3
7/6/2014,3
7/7/2014,4
7/8/2014,4
7/9/2014,4
7/10/2014,4
7/11/2014,5
7/12/2014,5
7/13/2014,5
7/14/2014,6
7/15/2014,6
7/16/2014,6
7/17/2014,6
7/18/2014,7
7/19/2014,7
7/20/2014,7
7/21/2014,8
7/22/2014,8
7/23/2014,8
7/24/2014,8
7/25/2014,1
7/26/2014,1
7/27/2014,1
7/28/2014,1
7/29/2014,2
7/30/2014,2
7/31/2014,2
8/1/2014,2
8/2/2014,3
8/3/2014,3
8/4/2014,3
8/5/2014,4
8/6/2014,4
8/7/2014,4
8/8/2014,4
8/9/2014,4
8/10/2014,5
8/11/2014,5
8/12/2014,6
8/13/2014,6
8/14/2014,6
8/15/2014,6
8/16/2014,7
8/17/2014,7
8/18/2014,7
8/19/2014,8
8/20/2014,8
8/21/2014,8
8/22/2014,8
8/23/2014,8
8/24/2014,1
8/25/2014,1
8/26/2014,1
8/27/2014,2
8/28/2014,2
8/29/2014,2
8/30/2014,2
8/31/2014,2
9/1/2014,3
9/2/2014,3
9/3/2014,3
9/4/2014,4
9/5/2014,4
9/6/2014,4
9/7/2014,4
9/8/2014,5
9/9/2014,5
9/10/2014,6
9/11/2014,6
9/12/2014,6
9/13/2014,6
9/14/2014,6
9/15/2014,7
9/16/2014,7
9/17/2014,7
9/18/2014,8
9/19/2014,8
9/20/2014,8
9/21/2014,8
9/22/2014,8
9/23/2014,1
9/24/2014,1
9/25/2014,1
9/26/2014,2
9/27/2014,2
9/28/2014,2
9/29/2014,2
9/30/2014,3
10/1/2014,3
10/2/2014,3
10/3/2014,4
10/4/2014,4
10/5/2014,4
10/6/2014,4
10/7/2014,5
10/8/2014,5
10/9/2014,5
10/10/2014,6
10/11/2014,6
10/12/2014,6
10/13/2014,6
10/14/2014,7
10/15/2014,7
10/16/2014,7
10/17/2014,8
10/18/2014,8
10/19/2014,8
10/20/2014,8
10/21/2014,8
10/22/2014,1
10/23/2014,1
10/24/2014,1
10/25/2014,2
10/26/2014,2
10/27/2014,2
10/28/2014,2
10/29/2014,2
10/30/2014,3
10/31/2014,3
11/1/2014,4
11/2/2014,4
11/3/2014,4
11/4/2014,4
11/5/2014,4
11/6/2014,5
11/7/2014,5
11/8/2014,6
11/9/2014,6
11/10/2014,6
11/11/2014,6
11/12/2014,6
11/13/2014,7
11/14/2014,7
11/15/2014,7
11/16/2014,8
11/17/2014,8
11/18/2014,8
11/19/2014,8
11/20/2014,8
11/21/2014,1
11/22/2014,1
11/23/2014,1
11/24/2014,2
11/25/2014,2
11/26/2014,2
11/27/2014,2
11/28/2014,3
11/29/2014,3
11/30/2014,3
12/1/2014,4
12/2/2014,4
12/3/2014,4
12/4/2014,4
12/5/2014,5
12/6/2014,5
12/7/2014,5
12/8/2014,6
12/9/2014,6
12/10/2014,6
12/11/2014,6
12/12/2014,6
12/13/2014,7
12/14/2014,7
12/15/2014,7
12/16/2014,8
12/17/2014,8
12/18/2014,8
12/19/2014,8
12/20/2014,8
12/21/2014,1
12/22/2014,1
12/23/2014,2
12/24/2014,2
12/25/2014,2
12/26/2014,2
12/27/2014,3
12/28/2014,3
12/29/2014,3
12/30/2014,4
12/31/2014,4
1/1/2015,4
1/2/2015,4
1/3/2015,4
1/4/2015,5
1/5/2015,5
1/6/2015,5
1/7/2015,6
1/8/2015,6
1/9/2015,6
1/10/2015,6
1/11/2015,6
1/12/2015,7
1/13/2015,7
1/14/2015,7
1/15/2015,8
1/16/2015,8
1/17/2015,8
1/18/2015,8
1/19/2015,1
1/20/2015,1
1/21/2015,1
1/22/2015,2
1/23/2015,2
1/24/2015,2
1/25/2015,2
1/26/2015,3
1/27/2015,3
1/28/2015,3
1/29/2015,4
1/30/2015,4
1/31/2015,4
2/1/2015,4
2/2/2015,5
2/3/2015,5
2/4/2015,5
2/5/2015,5
2/6/2015,6
2/7/2015,6
2/8/2015,6
2/9/2015,6
2/10/2015,6
2/11/2015,7
2/12/2015,7
2/13/2015,7
2/14/2015,8
2/15/2015,8
2/16/2015,8
2/17/2015,8
2/18/2015,1
2/19/2015,1
2/20/2015,2
2/21/2015,2
2/22/2015,2
2/23/2015,2
2/24/2015,3
2/25/2015,3
2/26/2015,3
2/27/2015,4
2/28/2015,4
3/1/2015,4
3/2/2015,4
3/3/2015,4
3/4/2015,5
3/5/2015,5
3/6/2015,5
3/7/2015,6
3/8/2015,6
3/9/2015,6
3/10/2015,6
3/11/2015,6
3/12/2015,7
3/13/2015,7
3/14/2015,7
3/15/2015,8
3/16/2015,8
3/17/2015,8
3/18/2015,8
3/19/2015,1
3/20/2015,1
3/21/2015,1
3/22/2015,2
3/23/2015,2
3/24/2015,2
3/25/2015,2
3/26/2015,3
3/27/2015,3
3/28/2015,3
3/29/2015,4
3/30/2015,4
3/31/2015,4
4/1/2015,4
4/2/2015,4
4/3/2015,5
4/4/2015,5
4/5/2015,5
4/6/2015,6
4/7/2015,6
4/8/2015,6
4/9/2015,6
4/10/2015,6
4/11/2015,7
4/12/2015,7
4/13/2015,7
4/14/2015,8
4/15/2015,8
4/16/2015,8
4/17/2015,1
4/18/2015,1
4/19/2015,1
4/20/2015,2
4/21/2015,2
4/22/2015,2
4/23/2015,2
4/24/2015,3
4/25/2015,3
4/26/2015,3
4/27/2015,3
4/28/2015,4
4/29/2015,4
4/30/2015,4
5/1/2015,4
5/2/2015,4
5/3/2015,5
5/4/2015,5
5/5/2015,5
5/6/2015,6
5/7/2015,6
5/8/2015,6
5/9/2015,6
5/10/2015,7
5/11/2015,7
5/12/2015,7
5/13/2015,8
5/14/2015,8
5/15/2015,8
5/16/2015,8
5/17/2015,1
5/18/2015,1
5/19/2015,1
5/20/2015,2
5/21/2015,2
5/22/2015,2
5/23/2015,2
5/24/2015,3
5/25/2015,3
5/26/2015,3
5/27/2015,4
5/28/2015,4
5/29/2015,4
5/30/2015,4
5/31/2015,4
6/1/2015,5
6/2/2015,5
6/3/2015,5
6/4/2015,6
6/5/2015,6
6/6/2015,6
6/7/2015,6
6/8/2015,7
6/9/2015,7
6/10/2015,7
6/11/2015,8
6/12/2015,8
6/13/2015,8
6/14/2015,8
6/15/2015,1
6/16/2015,1
6/17/2015,1
6/18/2015,2
6/19/2015,2
6/20/2015,2
6/21/2015,2
6/22/2015,2
6/23/2015,3
6/24/2015,3
6/25/2015,3
6/26/2015,4
6/27/2015,4
6/28/2015,4
6/29/2015,4
6/30/2015,4
7/1/2015,5
7/2/2015,5
7/3/2015,6
7/4/2015,6
7/5/2015,6
7/6/2015,6
7/7/2015,7
7/8/2015,7
7/9/2015,7
7/10/2015,8
7/11/2015,8
7/12/2015,8
7/13/2015,8
7/14/2015,8
7/15/2015,1
7/16/2015,1
7/17/2015,1
7/18/2015,2
7/19/2015,2
7/20/2015,2
7/21/2015,2
7/22/2015,2
7/23/2015,3
7/24/2015,3
7/25/2015,3
7/26/2015,4
7/27/2015,4
7/28/2015,4
7/29/2015,4
7/30/2015,5
7/31/2015,5
8/1/2015,5
8/2/2015,6
8/3/2015,6
8/4/2015,6
8/5/2015,6
8/6/2015,7
8/7/2015,7
8/8/2015,7
8/9/2015,8
8/10/2015,8
8/11/2015,8
8/12/2015,8
8/13/2015,1
8/14/2015,1
8/15/2015,1
8/16/2015,2
8/17/2015,2
8/18/2015,2
8/19/2015,2
8/20/2015,2
8/21/2015,3
8/22/2015,3
8/23/2015,3
8/24/2015,4
8/25/2015,4
8/26/2015,4
8/27/2015,4
8/28/2015,4
8/29/2015,5
8/30/2015,5
8/31/2015,6
9/1/2015,6
9/2/2015,6
9/3/2015,6
9/4/2015,7
9/5/2015,7
9/6/2015,7
9/7/2015,8
9/8/2015,8
9/9/2015,8
9/10/2015,8
9/11/2015,8
9/12/2015,1
9/13/2015,1
9/14/2015,1
9/15/2015,2
9/16/2015,2
9/17/2015,2
9/18/2015,2
9/19/2015,2
9/20/2015,3
9/21/2015,3
9/22/2015,3
9/23/2015,4
9/24/2015,4
9/25/2015,4
9/26/2015,4
9/27/2015,5
9/28/2015,5
9/29/2015,6
9/30/2015,6
10/1/2015,6
10/2/2015,6
10/3/2015,7
10/4/2015,7
10/5/2015,7
10/6/2015,8
10/7/2015,8
10/8/2015,8
10/9/2015,8
10/10/2015,8
10/11/2015,1
10/12/2015,1
10/13/2015,1
10/14/2015,1
10/15/2015,2
10/16/2015,2
10/17/2015,2
10/18/2015,2
10/19/2015,3
10/20/2015,3
10/21/2015,3
10/22/2015,4
10/23/2015,4
10/24/2015,4
10/25/2015,4
10/26/2015,5
10/27/2015,5
10/28/2015,5
10/29/2015,6
10/30/2015,6
10/31/2015,6
11/1/2015,6
11/2/2015,7
11/3/2015,7
11/4/2015,7
11/5/2015,8
11/6/2015,8
11/7/2015,8
11/8/2015,8
11/9/2015,8
11/10/2015,1
11/11/2015,1
11/12/2015,1
11/13/2015,2
11/14/2015,2
11/15/2015,2
11/16/2015,2
11/17/2015,2
11/18/2015,3
11/19/2015,3
11/20/2015,3
11/21/2015,4
11/22/2015,4
11/23/2015,4
11/24/2015,4
11/25/2015,5
11/26/2015,5
11/27/2015,6
11/28/2015,6
11/29/2015,6
11/30/2015,6
12/1/2015,6
12/2/2015,7
12/3/2015,7
12/4/2015,7
12/5/2015,8
12/6/2015,8
12/7/2015,8
12/8/2015,8
12/9/2015,8
12/10/2015,1
12/11/2015,1
12/12/2015,1
12/13/2015,2
12/14/2015,2
12/15/2015,2
12/16/2015,2
12/17/2015,3
12/18/2015,3
12/19/2015,3
12/20/2015,4
12/21/2015,4
12/22/2015,4
12/23/2015,4
12/24/2015,5
12/25/2015,5
12/26/2015,5
12/27/2015,6
12/28/2015,6
12/29/2015,6
12/30/2015,6
12/31/2015,6
3/20/2016,4
3/21/2016,4
3/22/2016,5
3/23/2016,5
3/24/2016,5
3/25/2016,6
3/26/2016,6
3/27/2016,6
3/28/2016,6
3/29/2016,6
3/30/2016,7
3/31/2016,7
4/1/2016,7
4/2/2016,8
4/3/2016,8
4/4/2016,8
4/5/2016,8
4/6/2016,1
4/7/2016,1
4/8/2016,1
4/9/2016,2
4/10/2016,2
4/11/2016,2
4/12/2016,2
4/13/2016,3
4/14/2016,3
4/15/2016,3
4/16/2016,4
4/17/2016,4
4/18/2016,4
4/19/2016,4
4/20/2016,4
4/21/2016,5
4/22/2016,5
4/23/2016,5
4/24/2016,6
4/25/2016,6
4/26/2016,6
4/27/2016,6
4/28/2016,6
4/29/2016,7
4/30/2016,7
5/1/2016,7
5/2/2016,8
5/3/2016,8
5/4/2016,8
5/5/2016,8
5/6/2016,1
5/7/2016,1
5/8/2016,2
5/9/2016,2
5/10/2016,2
5/11/2016,2
5/12/2016,3
5/13/2016,3
5/14/2016,3
5/15/2016,4
5/16/2016,4
5/17/2016,4
5/18/2016,4
5/19/2016,4
5/20/2016,5
5/21/2016,5
5/22/2016,5
5/23/2016,6
5/24/2016,6
5/25/2016,6
5/26/2016,6
5/27/2016,6
5/28/2016,7
5/29/2016,7
5/30/2016,7
5/31/2016,8
6/1/2016,8
6/2/2016,8
6/3/2016,8
6/4/2016,1
6/5/2016,1
6/6/2016,2
6/7/2016,2
6/8/2016,2
6/9/2016,2
6/10/2016,2
6/11/2016,3
6/12/2016,3
6/13/2016,3
6/14/2016,4
6/15/2016,4
6/16/2016,4
6/17/2016,4
6/18/2016,4
6/19/2016,5
6/20/2016,5
6/21/2016,5
6/22/2016,6
6/23/2016,6
6/24/2016,6
6/25/2016,6
6/26/2016,7
6/27/2016,7
6/28/2016,7
6/29/2016,8
6/30/2016,8
7/1/2016,8
7/2/2016,8
7/3/2016,1
7/4/2016,1
7/5/2016,1
7/6/2016,2
7/7/2016,2
7/8/2016,2
7/9/2016,2
7/10/2016,3
7/11/2016,3
7/12/2016,3
7/13/2016,3
7/14/2016,4
